latitude,longitude,count
-37.7239234,145.0533,1
13.0020658,77.6177943,1
18.2366503,109.513347,2
18.2910908,109.4995686,7
18.31082,109.31578,1
19.983035,110.330235,2
19.9891073,110.3202402,1
20.0054,110.37222,2
20.06199,110.32874,2
22.302027,114.178402,4
22.309465,39.104697,4
22.53306,113.932813,2
22.535933,113.944788,1
22.5363793,113.9561938,4
22.590798,114.264499,1
22.593969,113.99894,1
22.59688,114.50409,4
22.79123,108.16601,1
22.814458,108.324213,1
22.841119,108.249658,3
23.02469,113.097275,1
23.0449384,114.4185744,2
23.0965384,113.298883,1
23.10456,113.831377,2
23.107883,113.280445,1
23.137889,113.34946,1
23.1407971,113.2999309,1
23.1436728,113.3563425,2
23.145448,113.353943,5
23.145737,113.349761,1
23.1460184,113.3481282,2
23.1468094,113.3579136,4
23.1489951,113.3562632,1
23.1541289,113.3728038,1
23.1568182,113.3536811,33
23.15695623,113.354121,1
23.186944,113.364357,3
23.190879,113.549766,10
23.2759012,113.6721525,4
23.315939,113.472379,1
24.323458,102.524986,1
24.328809,102.5306212,4
24.33943,102.558353,1
24.3492058,102.5505331,6
24.89448,102.58122,1
24.96934,114.0375,1
25.071115,105.467647,1
25.0727148,102.7550882,5
25.124795,102.742834,4
25.135082,102.744703,2
25.795524,114.887227,3
26.084946,119.239701,23
26.127051,119.338226,2
26.129643,119.338553,5
26.50539,106.66711,2
26.5895249,106.7159627,25
27.7305517,85.3417579,3
27.787301,114.357773,3
28.178915,112.94395,4
28.180967,113.084828,7
28.197709,113.083429,10
28.20949337,113.1009217,1
28.21084,113.00779,2
28.211165,112.902623,1
28.227649,113.406306,1
28.5298441,77.1681763,1
28.5398035,77.1664047,1
28.556451,115.943828,1
28.557512,115.943246,1
28.558568,115.942573,1
28.6814996,121.3348535,1
28.683529,115.937347,3
28.762772,115.832826,2
29.079175,119.64742,2
29.535509,106.448107,2
29.571912,106.578303,9
29.6492253,-82.3419929,3
29.750852,107.262769,1
29.8190718,121.567482,2
29.8195959,106.4266239,7
29.909785,121.6416,2
29.977484,102.993691,7
30.180528,120.092503,1
30.2049443,120.2573322,3
30.2421403,120.1581419,3
30.2726708,120.1419505,1
30.289532,120.009886,2
30.2929169,120.370014,1
30.305626,120.195509,3
30.3086844,120.0864995,25
30.318764,120.363977,1
30.4255465,115.2481104,2
30.46177,114.44193,1
30.46455,114.121395,1
30.475126,114.353035,59
30.47882,114.55371,1
30.4817495,114.322668,2
30.482055,114.327143,1
30.482261,114.317809,4
30.5178064,114.3743796,1
30.5360485,114.3643219,1
30.542667,114.419947,1
30.5604645,114.3174596,4
30.57865112,104.0652334,3
30.581532,114.344114,10
30.601749,114.291077,1
30.611225,104.1093,4
30.612873,104.111671,2
30.623253,104.107983,1
30.6624863,104.1021662,7
30.709977,114.523201,1
30.7164657,120.9995965,1
30.78068,113.39363,1
30.80307,121.41705,2
30.835243,121.519928,3
30.93588,121.60564,1
31.0252201,121.4337784,9
31.04339,112.199108,1
