Application Id,Application Number,Office,Application Date,Publication Number,Publication Date,Publication Kind,IPC,CPC,Applicants,Inventors,Agents,Title,Abstract,Priority Data,Related Patent Documents,Grant Number,Grant Date,,,,,,
CN395776395,202211038935,China,29.08.2022,115927439,07.04.2023,A,"C12N 15/82
					






C12N 15/113
					






C12N 15/29
					






C12N 15/55
					






A01H 5/00
					






A01H 6/54
					








C12N 15/82
					






C12N 15/113
					






C12N 15/29
					






C12N 15/55
					






A01H 5/00
					






A01H 6/54
					






View less classifications",,"INSTITUTE OF CROP SCIENCE, CHINESE ACADEMY OF AGRICULTURAL SCIENCES中国农业科学院作物科学研究所",CAI YUPENG蔡宇鹏HOU WENSHENG侯文胜CHEN LI陈莉HAN TIANFU韩天富ZHANG YAN张岩,北京纪凯知识产权代理有限公司 11245,(EN) Application of CRISPR/SaCas9 system in soybean gene editing(ZH) CRISPR/SaCas9系统在大豆基因编辑中的应用,"(EN) The invention discloses an application of a CRISPR (clustered regularly interspaced short palindromic repeats)/SaCas9 system in soybean gene editing. Experiments prove that SgRNA is designed according to a gene GmFT2a or GmFT5a in a soybean genome, then a coding gene of the SgRNA and a gene for coding SaCas9 protein are introduced into soybeans, and the soybean genes GmFT2a and GmFT5a are knocked out; the PAM sequence of the SaCas9 protein recognition target is 5 '-NNGRRT-3', N is A, T, G or C, and R is A or G. Therefore, the CRISPR/SaCas9 system can be used for soybean gene editing, and has important application value.(ZH) 本发明公开了CRISPR/SaCas9系统在大豆基因编辑中的应用。实验证明，根据大豆基因组中基因GmFT2a或GmFT5a设计SgRNA，之后将SgRNA的编码基因和编码SaCas9蛋白的基因导入大豆，敲除大豆基因GmFT2a和GmFT5a；SaCas9蛋白识别靶点的PAM序列为5’‑NNGRRT‑3’，N为A、T、G或C，R为A或G。由此可见，CRISPR/SaCas9系统可以进行大豆基因编辑。本发明具有重要的应用价值。",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
RU448817454,2023131568,Russian Federation,01.12.2023,2833965,03.02.2025,C1,"C12Q 1/686
					






C12N 1/20
					






C12Q 1/6876
					






C12Q 1/6806
					








C12Q 1/686
					






C12N 1/20
					






C12Q 1/6876
					






C12Q 1/6806
					






View less classifications",,Самарина Мария Алексеевна (RU)Дивашук Михаил Георгиевич (RU)Крупин Павел Юрьевич (RU)Карлов Геннадий Ильич (RU)Баженов Михаил Сергеевич (RU)Архипов Андрей Владимирович (RU)Мирошниченко Дмитрий Николаевич (RU)Долгов Сергей Владимирович (RU)Шульга Ольга Альбертовна (RU)Клементьева Анна Александровна (RU)Тимербаев Вадим Рафаилович (RU)Samarina Mariya Alekseevna (RU)Divashuk Mikhail Georgievich (RU)Krupin Pavel Yurevich (RU)Karlov Gennadij Ilich (RU)Bazhenov Mikhail Sergeevich (RU)Arkhipov Andrej Vladimirovich (RU)Miroshnichenko Dmitrij Nikolaevich (RU)Dolgov Sergej Vladimirovich (RU)Shulga Olga Albertovna (RU)Klementeva Anna Aleksandrovna (RU)Timerbaev Vadim Rafailovich (RU),,,(EN) METHOD FOR DETECTING SBEIIA GENE EDITING EVENTS IN CEREALS USING SET OF OLIGONUCLEOTIDE SEQUENCES(RU) СПОСОБ ВЫЯВЛЕНИЯ СОБЫТИЙ РЕДАКТИРОВАНИЯ ГЕНА SBEIIA У ЗЕРНОВЫХ КУЛЬТУР С ПОМОЩЬЮ НАБОРА ОЛИГОНУКЛЕОТИДНЫХ ПОСЛЕДОВАТЕЛЬНОСТЕЙ,"(EN) FIELD: biotechnology.
SUBSTANCE: present invention relates to genetic engineering of plants, namely to genetic markers detecting genetic modifications of SBEIIA gene, obtained using CRISPR/Cas9 on genome of durum wheat (Triticum durum) and winter and spring triticale (×Triticosecale). Disclosed is a method based on carrying out a polymerase chain reaction (PCR) with oligonucleotide primers, flanking an intended editing site, with subsequent detection of PCR results using capillary electrophoresis.
EFFECT: invention enables detecting SBEIIA gene editing events in cereals resulting from editing using the CRISPR/Cas9 system.
3 cl, 5 dwg, 1 tbl, 2 ex(RU) Настоящее изобретение относится к области биотехнологии и генной инженерии растений, а именно к генетическим маркерам, выявляющим генетические модификации гена SBEIIA, полученные с использованием CRISPR/Cas9 на геноме твердой пшеницы (Triticum durum) и озимой и яровой тритикале (×Triticosecale). Раскрыт способ, основанный на проведении полимеразной цепной реакции (ПЦР) с олигонуклеотидными праймерами, фланкирующими сайт предполагаемого редактирования, с последующей детекцией результатов ПЦР с помощью капиллярного электрофореза. Изобретение позволяет выявлять события редактирования гена SBEIIA у зерновых культур, возникающие в результате редактирования с помощью системы CRISPR/Cas9. 2 з.п. ф-лы, 5 ил., 1 табл., 2 пр.",,,,03.02.2025,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
CN395762638,202310153602.X,China,22.02.2023,115927394,07.04.2023,B,"C12N 15/29
					






C12N 15/84
					






C12N 15/113
					






C07K 14/415
					






A01H 5/00
					






A01H 6/46
					








C12N 15/29
					






C12N 15/84
					






C12N 15/113
					






C07K 14/415
					






A01H 5/00
					






A01H 6/46
					






View less classifications",,SHANDONG UNIVERSITY山东大学,WANG GUANFENG王官锋SUN YANG孙扬,济南圣达知识产权代理有限公司 37221,(EN) Corn VPS23 similar gene ZmVPS23L and application thereof(ZH) 玉米VPS23类似基因ZmVPS23L及其应用,"(EN) The invention discloses a corn VPS23 similar gene ZmVPS23L. A cDNA (complementary deoxyribonucleic acid) nucleotide sequence of the corn VPS23 similar gene ZmVPS23L is shown as SEQ ID No. 1; the invention further discloses application of improving northern leaf blight resistance, salt tolerance and drought resistance of plants by improving expression of the corn VPS23 similar gene ZmVPS23L and improving southern leaf blight resistance of the plants by reducing expression of the corn VPS23 similar gene ZmVPS23L. Experiments prove that field northern leaf blight and southern leaf blight identification, salt treatment and drought treatment experiments on the ZmVPS23L transgenic overexpression positive strain find that the ZmVPS23L overexpression positive strain has enhanced resistance to northern leaf blight, salt resistance and drought resistance and shows a susceptible phenotype to southern leaf blight, and the ZmVPS23L is proved to be a novel gene for regulating and controlling stress resistance. The CRISPR/CAS9 technology is further utilized, two target spots are designed for the ZmVPS23L, southern leaf blight identification is carried out on the ZmVPS23L edited strain, and it is found that the ZmVPS23L edited strain has disease resistance to corn southern leaf blight. The invention provides a new gene, a new material and a new method for disease-resistant breeding of corn, and the application prospect is wide.(ZH) 本发明公开了一种玉米VPS23类似基因ZmVPS23L，其cDNA核苷酸序列如SEQ ID No.1所示；还公开了通过提高玉米VPS23类似基因ZmVPS23L表达以提高植物抗大斑病、耐盐性和抗旱性，通过降低玉米VPS23类似基因ZmVPS23L表达以提高植物抗小斑病的应用。实验证实，通过对ZmVPS23L转基因过表达阳性株系的大田大斑病、小斑病鉴定，盐处理、旱处理实验，发现ZmVPS23L过表达阳性株系对大斑病抗性、耐盐性和抗旱性均增强，对小斑病表现出感病表型，证明了ZmVPS23L是一个新的调控抗逆的基因。进一步利用CRISPR/CAS9技术，针对ZmVPS23L设计两个靶点，对ZmVPS23L编辑株系进行小斑病鉴定，发现ZmVPS23L编辑株系表现出对玉米小斑病产生抗病性。本发明为玉米的抗病育种提供了新基因、新材料和新方法，应用前景广阔。",,,115927394,02.07.2024,,,,,,
